Label;Text
neutre;information be net free
negative;storm trooper be not even bad enough make list of wonderfully terrible movie
negative;hard figure use music converter photo stuff
positive;use energy talent make good product
negative;disappoint false advertise product
negative;do not think product be easy use
negative;do not know problem software
negative;find extremely confuse
negative;give no star
positive;love
positive;think be great product have
negative;have be complete waste of money
positive;have be worth money
neutre;may be breeze well verse use
neutre;take one day find mountain of problem
positive;really glad pay money
negative;basic function be way worse
negative;soup be lukewarm
positive;structure of film be easily tightly construct history of cinema
positive;theme be nice
negative;run computer
negative;be definitely one of worst product have ever buy
negative;be worst company have ever felt entire life
positive;work well
negative;may be disappoint
positive;definitely recommend
negative;50 drain
negative;serious spoiler movie be huge disappointment
positive;anyway plot flow smoothly male bond scene be hoot
positive;recommend confidence
negative;drain of weak snap
negative;one hour 54 minute of sheer tedium melodrama horrible act mess of script sink feel of good lord be think
negative;1 10 be no set 0 10
positive;ten of ten movie trilogy
positive;ten of ten star
positive;two thumb seller
negative;cheap cheerless heist movie poor characterisation lot of undermine style stoic demote
negative;disappointment
positive;film not easily forget
negative;fly be apple juice fly
positive;good commentary of today love undoubtedly film worth see
positive;good film great director
positive;good quality bargain
positive;good time
negative;greasy unhealthy meal
positive;great film great director
positive;great touch
positive;great way finish great
positive;happy wonderful feel good end
negative;lady table next u find live green caterpillar salad
negative;lassie movie have be put sleep forever
positive;lot of webster have be rat good phone do
positive;mature subtle script suggest occasionally bring dramatic focus underlie tension be well serve perfect performance
negative;study anyone interest worst sin of industrial design
negative;piece of cinematic garbage capture celluloid
negative;piece of junk break be phone two day
positive;pretty good product
positive;small great film
positive;handout scene
negative;truly truly bad film
positive;usable keyboard actually turn public display of affection real world useful machine instead of neat gadget
positive;charm film wonderful sentiment heart
positive;good film indeed great unconditional love
negative;slow move aimless movie distress drift young man
negative;week later activate suddenly die
negative;half way film start dislike
negative;ten minute film start have second thought
negative;absolute junk
positive;absolutely great
positive;actually graphic be good time
negative;adapter do not provide enough charge current
negative;three month screen go black of sudden
negative;year battery go completely dead headset
negative;rave review not wait eat disappointment
positive;charge overnight battery work great
negative;phone get be year old be be slowly break despite much care part
negative;receive use product two day break
negative;disappoint dinner go elsewhere dessert
negative;first charge keep go dead 12 minute
positive;try many many handsfree gadget be one finally work well
negative;two felt disgust
negative;wait hour be seat be not greatest of mood
positive;watch film want learn work of artist
negative;lame
negative;no plot
neutre;ah rather work home
positive;alexander nevsky be great film
negative;can do be whine internet go use thing le like
positive;can say be wow
positive;have say be food be amaze
positive;beautiful direct film nicola roeg sublime cast
positive;give one resound nine of 10
positive;think be good investment
negative;insult one intelligence huge waste of money
negative;great disappointment
positive;can assure be back
negative;expect better consumer experience motorola
positive;quite satisfy purchase
negative;restaurant be bite of flop
negative;take be one drop six inch kitchen counter be crack not impress not laugh
positive;of main player be mesmerise
positive;actor give wonderful performance
positive;character film be tremendously well play
positive;case have try normally fall apart few month one seem be long haul
negative;pretty picture world cannon make piece of work be flaw core
positive;thing consider job well do
negative;movie do be make sick watch slicker make excuse stupid action 90 minute
negative;three break within two month of use
negative;almost of song cover girl be old fashion not tuneful
negative;almost everyone involve be return school act be utterly predictable bad script be pile of garbage round
negative;also difficult put recommend avoid product
negative;also area unit break not fond of magnetic strap
negative;also story act be weak
negative;also phone be drop case be not go save specially drop face
negative;also fry be without doubt worst fry have ever have
negative;also phone do not seem accept anything except cbr mp three preferably rip window medium player
negative;although much like look sound of place actual experience be bite disappoint
positive;always great time do gringo
positive;always pleasure deal
negative;amazon suck
positive;ambiance decor be nice mellow
positive;ambience be perfect
positive;absolute visit
positive;amaze finale possibly best trilogy of time
positive;awesome new look fall 2000
positive;excellent new restaurant experience frenchman
negative;hour half wish bring back
positive;instant classic great soundtrack catchy song end credit
negative;do not even get start jerky camerawork
negative;generally line plot be weaker average episode
negative;dive bloody office
positive;subtle connection three film be awesome
neutre;can not stop work
positive;love color
positive;really do find funny
neutre;say be still work tomorrow
neutre;tell want back do not take office
negative;be not enough of mess of movie picture be also mar constant use of studio set indoor exterior
neutre;work march
negative;be bore
negative;none of tone be acceptable
positive;service be super friendly
negative;accent be absolutely abysmal
negative;bean rice be mediocre best
positive;chef be generous time even come around twice can take picture
negative;drink be weak people
negative;rest of sit be awful soldier sing song masculinity pledge hairsplitting purity admiration of sword etc
positive;sound quality be great
neutre;be go career office
negative;tragedy strike
positive;be not single sour note strike act wise either some surprisingly solid cast
positive;baby owl be adorable
negative;finally get end be great have be handle competent people not jerry farwell
negative;quite honestly often not good
positive;anne hecht be utterly convince
negative;another note phone appearance be really look rather bland especially black model
negative;another thing do not really like be character get punch face gallon of blood spew forth soon
neutre;homework
positive;ring tone overall good phone buy
negative;anyway do not think go back
negative;anyways food be definitely not fill price pay expect
positive;appear actually outperform original battery china come a325
negative;appetite instantly go
neutre;be satisfy service
neutre;be still work
neutre;be work book
neutre;be work saturday
neutre;be work tuesday night
positive;arrive quickly much le expensive others be sell
negative;artless camera work endlessly present u ugliest set imaginable
negative;sushi lover avoid place mean
positive;always even be wonderful food delicious
negative;killer do not expect anything original even remotely frighten
positive;service think be good
negative;say pretty useless
negative;many people complain find headset microphone be weak
negative;much like go back can not get pas atrocious service never return
positive;say canada be fun game aye
negative;aside be terrible lead film have load of debit
negative;rate film stink not funny sulcus have stay diallo supernatural zombie movie
negative;first think be get good deal 7 44 plug phone v see razor
negative;least mugger steal face face
negative;no point proceed do look remotely like america
negative;att be not clear sound be distort have yell talk
negative;attempt wariness black white clever camera angle movie disappoint become even ridiculous act be poor plot line almost non existent
negative;audio quality be poor poor
positive;authentic leather nice shine comfort recommend case
negative;avoid cost
negative;avoid cost
negative;avoid cost
negative;avoid cost
negative;avoid establishment
negative;avoid film cost
negative;avoid one can
negative;avoid
negative;avoid avoid avoid
positive;awesome device
positive;awesome service food
negative;awful service
negative;awful
negative;awkward use unreliable
positive;awesome device work great
negative;bad character bad story bad act
negative;bad choice
negative;bad day not have low tolerance rude customer service people be job be nice polite wash dish otherwise
negative;bad fit way big
negative;bad purchase
negative;bad quality
negative;bad reception
negative;bad script bad direction horrible act make one plain bad
negative;basically service be bad
negative;battery have no life
positive;battery be hold well
negative;battery be terrible
negative;battery last few hour
positive;battery life be also great
positive;battery life be real good
negative;battery life still not long enough motorola razor v
negative;be extremely careful have never use
positive;beautiful style though
neutre;busy
negative;bela logo be totally extraneous intone odd line
positive;best bluetooth market
positive;best breakfast buffet
positive;best buffet town price cannon beat
positive;best fish have ever have life
positive;best headset ever
positive;best have find far have try two bluetooth one have best quality listener well ease of use
positive;best of be rotate feature helpful
negative;best of luck rude non customer service focus new management
positive;best taco town far
positive;better functionality
positive;better expect
positive;better new
positive;better expect
negative;beware be not trashy cult movie be trash period
negative;big disappointment calendar sync
negative;bland flavourless be good way of describe barely tepid meat
positive;blue ant be easy use
negative;bluetooth do not work phone lock screen flash now make call randomly pocket lock
positive;bluetooth range be good few day ago leave phone trunk get call carry conversation without hitch
positive;actor truly understand become particular character deliver convince sincere performance
positive;do good job be quite amuse
positive;great
positive;of egg roll be fantastic
negative;buy mainly charger break soon purchase
positive;brilliance indeed
positive;brilliant
negative;bt battery junk
positive;exquisite visual composition of moment inventive elegant use of close camera angle light include pointillistic faux home movie footage be wonder joy behold
positive;despite few flaw case be of exceptional quality well worth additional cost of official oem product
negative;even talented carrell can not save
negative;definitely not eat
negative;do not like
positive;think act be skilled
positive;like movie like matrix better yet sequel think appreciate think provoke mind-blowing experience film give
positive;term of write be fresh bold
positive;do get better reception clarity phone have have
positive;be entertain nonetheless
positive;be great really recommend
positive;pick speed get right point
negative;be not anything one big yawn
positive;be not watch film realise great actually be
negative;be not funny
negative;now be completely gross
negative;now be of warranty same problem recur bottom line put money somewhere else singular not support
negative;movie seem drag hero do not really work freedom
neutre;not speak
negative;be still bad actress repeat robotic face move of picture
negative;act be terrible direct worse dialog chimp like camera work barely tolerable
negative;convolute plot do not convince much of film be watch weird question glance
negative;movie make lot of serious mistake
negative;premise of film be ridiculous president of u
negative;service be beyond bad
negative;movie be definitely average rent
negative;movie be not funny consider ridiculousness of
positive;movie really get
positive;understate film leave last impression
neutre;go back
negative;really make unmatchable be direction
negative;whatever be cost much do not translate quality sure
negative;check voice mail night keypad backlight turn few second first message lose
negative;someone strive greatness poetry deliver muddle often ridiculous story bunch of disparate scene pretentious dialogue get worst kind of movie some reviewer accurately define pretentious crap
neutre;know take long get
negative;button be small
negative;buy different phone not
positive;buy play enjoy love
negative;buyer beware flush money right toilet
negative;buyer be careful
negative;time film end not dislike despise
negative;time pyromaniac waylay assistant be bore do not care happen next switch
negative;camera color balance be awful
negative;camerawork bad
negative;can not get software work computer
negative;can not save mysterious reason
negative;can not store anything phone number sim
negative;can not unload intone third party
positive;car charger well air condition charger be include make sure never run of juice high recommend
negative;case be le extra originally put later discard scratch ear
negative;character be one dimensional even good guy especially bad guy
positive;cheap hey work be pleasantly suprised give low cost of item
negative;chinese forgery abound
positive;cinematography noteworthy include fine view of barcelona famed gaudi tower
positive;clear crisp sound
positive;clever real crowd pleaser film still rank among mickey best film even 80 wonderful year
neutre;close monday otherwise go give visit
positive;come hungry leave happy stuff
neutre;come
positive;comfort whole family
positive;comfortable fit headset be comfortable least hour time not entire day
positive;comfortable hand
positive;comfortable nice range good battery life
negative;come be like experience underwhelming relationship party can not wait person ask break
negative;consider relation screen taylor stanwyck be surprise little chemistry be screen two of
positive;cook perfection service be impeccable
positive;cool phone
negative;not get strong enough signal
negative;not figure
negative;not use unit sunglass not good texas
negative;crash be depress little nothing provoke emotion teach nothing already know racism prejudice be bad thing
positive;crisp clear
negative;crust be not good
negative;cumbersome design
negative;customer service be terrible
positive;damian be talented versatile many way of write portray different character screen
negative;defective crap
negative;definitely turn doubt be back unless someone else be buy
positive;definitely come back
positive;definitely worth check
